"Points:0","Points:1","Points:2","X","Y"
6.1316,-0.28544,14.106,6.1316,-0.28544
6.1652,-0.28544,14.106,6.1652,-0.28544
6.1986,-0.28544,14.106,6.1986,-0.28544
6.2319,-0.28544,14.106,6.2319,-0.28544
6.265,-0.28544,14.106,6.265,-0.28544
6.2979,-0.28544,14.106,6.2979,-0.28544
6.3307,-0.28544,14.106,6.3307,-0.28544
6.3633,-0.28544,14.106,6.3633,-0.28544
6.3958,-0.28544,14.106,6.3958,-0.28544
6.4281,-0.28544,14.106,6.4281,-0.28544
6.4602,-0.28544,14.106,6.4602,-0.28544
6.4922,-0.28544,14.106,6.4922,-0.28544
6.5241,-0.28544,14.106,6.5241,-0.28544
6.5558,-0.28544,14.106,6.5558,-0.28544
6.5873,-0.28544,14.106,6.5873,-0.28544
6.6187,-0.28544,14.106,6.6187,-0.28544
6.6499,-0.28544,14.106,6.6499,-0.28544
6.681,-0.28544,14.106,6.681,-0.28544
6.712,-0.28544,14.106,6.712,-0.28544
6.7428,-0.28544,14.106,6.7428,-0.28544
6.7734,-0.28544,14.106,6.7734,-0.28544
6.804,-0.28544,14.106,6.804,-0.28544
6.8343,-0.28544,14.106,6.8343,-0.28544
6.8646,-0.28544,14.106,6.8646,-0.28544
6.8947,-0.28544,14.106,6.8947,-0.28544
6.9247,-0.28544,14.106,6.9247,-0.28544
6.9545,-0.28544,14.106,6.9545,-0.28544
6.9842,-0.28544,14.106,6.9842,-0.28544
7.0138,-0.28544,14.106,7.0138,-0.28544
7.0432,-0.28544,14.106,7.0432,-0.28544
7.0725,-0.28544,14.106,7.0725,-0.28544
7.1017,-0.28544,14.106,7.1017,-0.28544
7.1307,-0.28544,14.106,7.1307,-0.28544
7.1597,-0.28544,14.106,7.1597,-0.28544
7.1885,-0.28544,14.106,7.1885,-0.28544
7.2171,-0.28544,14.106,7.2171,-0.28544
7.2457,-0.28544,14.106,7.2457,-0.28544
7.2741,-0.28544,14.106,7.2741,-0.28544
7.3024,-0.28544,14.106,7.3024,-0.28544
7.3306,-0.28544,14.106,7.3306,-0.28544
7.3587,-0.28544,14.106,7.3587,-0.28544
7.3866,-0.28544,14.106,7.3866,-0.28544
7.4144,-0.28544,14.106,7.4144,-0.28544
7.4421,-0.28544,14.106,7.4421,-0.28544
7.4697,-0.28544,14.106,7.4697,-0.28544
7.4972,-0.28544,14.106,7.4972,-0.28544
7.5246,-0.28544,14.106,7.5246,-0.28544
7.5518,-0.28544,14.106,7.5518,-0.28544
7.579,-0.28544,14.106,7.579,-0.28544
7.606,-0.28544,14.106,7.606,-0.28544
7.6329,-0.28544,14.106,7.6329,-0.28544
7.6597,-0.28544,14.106,7.6597,-0.28544
7.6864,-0.28544,14.106,7.6864,-0.28544
7.713,-0.28544,14.106,7.713,-0.28544
7.7395,-0.28544,14.106,7.7395,-0.28544
7.7659,-0.28544,14.106,7.7659,-0.28544
7.7922,-0.28544,14.106,7.7922,-0.28544
7.8184,-0.28544,14.106,7.8184,-0.28544
7.8444,-0.28544,14.106,7.8444,-0.28544
7.8704,-0.28544,14.106,7.8704,-0.28544
7.8963,-0.28544,14.106,7.8963,-0.28544
7.9221,-0.28544,14.106,7.9221,-0.28544
7.9477,-0.28544,14.106,7.9477,-0.28544
7.9733,-0.28544,14.106,7.9733,-0.28544
7.9988,-0.28544,14.106,7.9988,-0.28544
8.0242,-0.28544,14.106,8.0242,-0.28544
8.0494,-0.28544,14.106,8.0494,-0.28544
8.0746,-0.28544,14.106,8.0746,-0.28544
8.0997,-0.28544,14.106,8.0997,-0.28544
8.1247,-0.28544,14.106,8.1247,-0.28544
8.1496,-0.28544,14.106,8.1496,-0.28544
8.1744,-0.28544,14.106,8.1744,-0.28544
8.1991,-0.28544,14.106,8.1991,-0.28544
8.2238,-0.28544,14.106,8.2238,-0.28544
8.2483,-0.28544,14.106,8.2483,-0.28544
8.2728,-0.28544,14.106,8.2728,-0.28544
8.2971,-0.28544,14.106,8.2971,-0.28544
8.3214,-0.28544,14.106,8.3214,-0.28544
8.3456,-0.28544,14.106,8.3456,-0.28544
8.3697,-0.28544,14.106,8.3697,-0.28544
8.3937,-0.28544,14.106,8.3937,-0.28544
8.4176,-0.28544,14.106,8.4176,-0.28544
8.4414,-0.28544,14.106,8.4414,-0.28544
8.4652,-0.28544,14.106,8.4652,-0.28544
8.4889,-0.28544,14.106,8.4889,-0.28544
8.5125,-0.28544,14.106,8.5125,-0.28544
8.536,-0.28544,14.106,8.536,-0.28544
8.5594,-0.28544,14.106,8.5594,-0.28544
8.5827,-0.28544,14.106,8.5827,-0.28544
8.606,-0.28544,14.106,8.606,-0.28544
8.6292,-0.28544,14.106,8.6292,-0.28544
8.6523,-0.28544,14.106,8.6523,-0.28544
8.6753,-0.28544,14.106,8.6753,-0.28544
8.6983,-0.28544,14.106,8.6983,-0.28544
8.7211,-0.28544,14.106,8.7211,-0.28544
8.7439,-0.28544,14.106,8.7439,-0.28544
8.7667,-0.28544,14.106,8.7667,-0.28544
8.7893,-0.28544,14.106,8.7893,-0.28544
8.8119,-0.28544,14.106,8.8119,-0.28544
8.8344,-0.28544,14.106,8.8344,-0.28544
8.8568,-0.28544,14.106,8.8568,-0.28544
8.8791,-0.28544,14.106,8.8791,-0.28544
8.9014,-0.28544,14.106,8.9014,-0.28544
8.9236,-0.28544,14.106,8.9236,-0.28544
8.9458,-0.28544,14.106,8.9458,-0.28544
8.9678,-0.28544,14.106,8.9678,-0.28544
8.9898,-0.28544,14.106,8.9898,-0.28544
9.0117,-0.28544,14.106,9.0117,-0.28544
9.0336,-0.28544,14.106,9.0336,-0.28544
9.0554,-0.28544,14.106,9.0554,-0.28544
9.0771,-0.28544,14.106,9.0771,-0.28544
9.0987,-0.28544,14.106,9.0987,-0.28544
9.1203,-0.28544,14.106,9.1203,-0.28544
9.1418,-0.28544,14.106,9.1418,-0.28544
9.1633,-0.28544,14.106,9.1633,-0.28544
9.1847,-0.28544,14.106,9.1847,-0.28544
9.206,-0.28544,14.106,9.206,-0.28544
