"X","Y","Z","K","W","uu","uv","uw","vv","vw","ww","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,17.803,0.65,-1.1704e-06
17.803,0.65,0.032135,0.00012994,1.1076,5.6328e-05,8.2489e-06,-3.5386e-06,4.4148e-05,-5.9258e-06,0.0001594,1,0.032136,17.803,0.65,0.032135
17.803,0.65,0.064271,0.00012994,1.1076,5.6328e-05,8.2489e-06,-3.5386e-06,4.4148e-05,-5.9258e-06,0.0001594,1,0.064272,17.803,0.65,0.064271
17.803,0.65,0.096407,0.00017864,1.1085,8.1567e-05,1.0024e-05,3.4695e-06,7.2209e-05,-1.0081e-06,0.0002035,1,0.096408,17.803,0.65,0.096407
17.803,0.65,0.12854,0.00017864,1.1085,8.1567e-05,1.0024e-05,3.4695e-06,7.2209e-05,-1.0081e-06,0.0002035,1,0.12854,17.803,0.65,0.12854
17.803,0.65,0.16068,0.00021678,1.1087,7.9526e-05,8.169e-06,3.1054e-06,7.1989e-05,3.1529e-06,0.00028204,1,0.16068,17.803,0.65,0.16068
17.803,0.65,0.19281,0.00021678,1.1087,7.9526e-05,8.169e-06,3.1054e-06,7.1989e-05,3.1529e-06,0.00028204,1,0.19282,17.803,0.65,0.19281
17.803,0.65,0.22495,0.00021678,1.1087,7.9526e-05,8.169e-06,3.1054e-06,7.1989e-05,3.1529e-06,0.00028204,1,0.22495,17.803,0.65,0.22495
17.803,0.65,0.25709,0.00021329,1.1092,8.7187e-05,9.719e-06,6.078e-06,7.6716e-05,4.2818e-07,0.00026268,1,0.25709,17.803,0.65,0.25709
17.803,0.65,0.28922,0.00021329,1.1092,8.7187e-05,9.719e-06,6.078e-06,7.6716e-05,4.2818e-07,0.00026268,1,0.28922,17.803,0.65,0.28922
17.803,0.65,0.32136,0.0002124,1.1095,8.2146e-05,9.2441e-06,-1.5708e-06,7.6785e-05,-6.3886e-06,0.00026586,1,0.32136,17.803,0.65,0.32136
17.803,0.65,0.35349,0.0002124,1.1095,8.2146e-05,9.2441e-06,-1.5708e-06,7.6785e-05,-6.3886e-06,0.00026586,1,0.3535,17.803,0.65,0.35349
17.803,0.65,0.38563,0.00020551,1.11,8.8275e-05,1.0894e-05,1.7682e-06,7.8073e-05,1.7993e-06,0.00024467,1,0.38563,17.803,0.65,0.38563
17.803,0.65,0.41777,0.00020551,1.11,8.8275e-05,1.0894e-05,1.7682e-06,7.8073e-05,1.7993e-06,0.00024467,1,0.41777,17.803,0.65,0.41777
17.803,0.65,0.4499,0.00020471,1.1104,8.1931e-05,5.5281e-06,7.2034e-07,7.707e-05,-2.8092e-06,0.00025043,1,0.4499,17.803,0.65,0.4499
17.803,0.65,0.48204,0.00020471,1.1104,8.1931e-05,5.5281e-06,7.2034e-07,7.707e-05,-2.8092e-06,0.00025043,1,0.48204,17.803,0.65,0.48204
17.803,0.65,0.51417,0.00020471,1.1104,8.1931e-05,5.5281e-06,7.2034e-07,7.707e-05,-2.8092e-06,0.00025043,1,0.51418,17.803,0.65,0.51417
17.803,0.65,0.54631,0.00020995,1.111,8.731e-05,8.3227e-06,2.6486e-06,8.0528e-05,-4.9829e-06,0.00025206,1,0.54631,17.803,0.65,0.54631
17.803,0.65,0.57845,0.00020995,1.111,8.731e-05,8.3227e-06,2.6486e-06,8.0528e-05,-4.9829e-06,0.00025206,1,0.57845,17.803,0.65,0.57845
17.803,0.65,0.61058,0.00020504,1.1117,8.0073e-05,3.8764e-06,-7.7634e-06,7.5617e-05,-7.4476e-06,0.00025439,1,0.61058,17.803,0.65,0.61058
17.803,0.65,0.64272,0.00020504,1.1117,8.0073e-05,3.8764e-06,-7.7634e-06,7.5617e-05,-7.4476e-06,0.00025439,1,0.64272,17.803,0.65,0.64272
17.803,0.65,0.67485,0.00020687,1.1122,8.6291e-05,1.067e-05,4.0693e-06,7.4819e-05,2.6431e-06,0.00025263,1,0.67486,17.803,0.65,0.67485
17.803,0.65,0.70699,0.00020687,1.1122,8.6291e-05,1.067e-05,4.0693e-06,7.4819e-05,2.6431e-06,0.00025263,1,0.70699,17.803,0.65,0.70699
17.803,0.65,0.73913,0.00020739,1.1128,8.1348e-05,4.2813e-06,-2.2265e-06,7.2155e-05,-5.8161e-06,0.00026128,1,0.73913,17.803,0.65,0.73913
17.803,0.65,0.77126,0.00020739,1.1128,8.1348e-05,4.2813e-06,-2.2265e-06,7.2155e-05,-5.8161e-06,0.00026128,1,0.77126,17.803,0.65,0.77126
17.803,0.65,0.8034,0.00020739,1.1128,8.1348e-05,4.2813e-06,-2.2265e-06,7.2155e-05,-5.8161e-06,0.00026128,1,0.8034,17.803,0.65,0.8034
17.803,0.65,0.83553,0.00021733,1.1131,8.8613e-05,1.5177e-05,3.4992e-06,8.0634e-05,1.9846e-06,0.00026541,1,0.83554,17.803,0.65,0.83553
17.803,0.65,0.86767,0.00021733,1.1131,8.8613e-05,1.5177e-05,3.4992e-06,8.0634e-05,1.9846e-06,0.00026541,1,0.86767,17.803,0.65,0.86767
17.803,0.65,0.89981,0.00022432,1.1138,8.7099e-05,3.2574e-06,-7.5765e-06,7.5841e-05,-1.0904e-05,0.00028571,1,0.89981,17.803,0.65,0.89981
17.803,0.65,0.93194,0.00022432,1.1138,8.7099e-05,3.2574e-06,-7.5765e-06,7.5841e-05,-1.0904e-05,0.00028571,1,0.93194,17.803,0.65,0.93194
17.803,0.65,0.96408,0.00024363,1.114,9.5339e-05,1.3007e-05,-3.5008e-06,8.4847e-05,2.127e-06,0.00030707,1,0.96408,17.803,0.65,0.96408
17.803,0.65,0.99621,0.00024363,1.114,9.5339e-05,1.3007e-05,-3.5008e-06,8.4847e-05,2.127e-06,0.00030707,1,0.99622,17.803,0.65,0.99621
