"X","Y","Z","K","W","uu","uv","uw","vv","vw","ww","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,20.164,0.65,-1.1704e-06
20.164,0.65,0.032135,8.8267e-05,1.0986,1.5042e-05,-3.5843e-06,3.4891e-06,2.1948e-05,-8.79e-07,0.00013954,1,0.032136,20.164,0.65,0.032135
20.164,0.65,0.064271,8.8267e-05,1.0986,1.5042e-05,-3.5843e-06,3.4891e-06,2.1948e-05,-8.79e-07,0.00013954,1,0.064272,20.164,0.65,0.064271
20.164,0.65,0.096407,0.00013017,1.1007,3.3261e-05,-3.4344e-06,2.8983e-07,4.4093e-05,1.7824e-07,0.00018299,1,0.096408,20.164,0.65,0.096407
20.164,0.65,0.12854,0.00013017,1.1007,3.3261e-05,-3.4344e-06,2.8983e-07,4.4093e-05,1.7824e-07,0.00018299,1,0.12854,20.164,0.65,0.12854
20.164,0.65,0.16068,0.00017278,1.1008,3.8559e-05,-4.4183e-06,-2.8673e-06,5.4143e-05,1.4446e-06,0.00025286,1,0.16068,20.164,0.65,0.16068
20.164,0.65,0.19281,0.00017278,1.1008,3.8559e-05,-4.4183e-06,-2.8673e-06,5.4143e-05,1.4446e-06,0.00025286,1,0.19282,20.164,0.65,0.19281
20.164,0.65,0.22495,0.00017278,1.1008,3.8559e-05,-4.4183e-06,-2.8673e-06,5.4143e-05,1.4446e-06,0.00025286,1,0.22495,20.164,0.65,0.22495
20.164,0.65,0.25709,0.00016995,1.1014,3.8098e-05,-6.4088e-06,-2.8781e-06,5.9459e-05,-5.7898e-06,0.00024235,1,0.25709,20.164,0.65,0.25709
20.164,0.65,0.28922,0.00016995,1.1014,3.8098e-05,-6.4088e-06,-2.8781e-06,5.9459e-05,-5.7898e-06,0.00024235,1,0.28922,20.164,0.65,0.28922
20.164,0.65,0.32136,0.0001695,1.1016,3.7292e-05,-4.9182e-06,-4.3663e-06,5.752e-05,1.6484e-06,0.00024418,1,0.32136,20.164,0.65,0.32136
20.164,0.65,0.35349,0.0001695,1.1016,3.7292e-05,-4.9182e-06,-4.3663e-06,5.752e-05,1.6484e-06,0.00024418,1,0.3535,20.164,0.65,0.35349
20.164,0.65,0.38563,0.0001634,1.1024,3.9371e-05,-4.082e-06,-1.6589e-06,5.9809e-05,-3.7675e-06,0.00022762,1,0.38563,20.164,0.65,0.38563
