"X","Y","Z","K","W","uu","uv","uw","vv","vw","ww","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,16.693,0.65,-1.1704e-06
16.693,0.65,0.032135,0.00010406,1.1076,1.6131e-05,2.2243e-06,-4.5267e-06,3.696e-05,2.131e-06,0.00015504,1,0.032136,16.693,0.65,0.032135
16.693,0.65,0.064271,0.00010406,1.1076,1.6131e-05,2.2243e-06,-4.5267e-06,3.696e-05,2.131e-06,0.00015504,1,0.064272,16.693,0.65,0.064271
16.693,0.65,0.096407,0.00014977,1.1079,3.5094e-05,4.2039e-06,1.9389e-06,5.6328e-05,2.3325e-06,0.00020812,1,0.096408,16.693,0.65,0.096407
16.693,0.65,0.12854,0.00014977,1.1079,3.5094e-05,4.2039e-06,1.9389e-06,5.6328e-05,2.3325e-06,0.00020812,1,0.12854,16.693,0.65,0.12854
16.693,0.65,0.16068,0.00018813,1.1081,3.6714e-05,4e-06,6.5581e-06,5.8362e-05,-8.7354e-06,0.00028119,1,0.16068,16.693,0.65,0.16068
16.693,0.65,0.19281,0.00018813,1.1081,3.6714e-05,4e-06,6.5581e-06,5.8362e-05,-8.7354e-06,0.00028119,1,0.19282,16.693,0.65,0.19281
16.693,0.65,0.22495,0.00018813,1.1081,3.6714e-05,4e-06,6.5581e-06,5.8362e-05,-8.7354e-06,0.00028119,1,0.22495,16.693,0.65,0.22495
16.693,0.65,0.25709,0.00017757,1.1082,3.7392e-05,5.3057e-06,-3.5198e-06,6.401e-05,1.2226e-06,0.00025374,1,0.25709,16.693,0.65,0.25709
16.693,0.65,0.28922,0.00017757,1.1082,3.7392e-05,5.3057e-06,-3.5198e-06,6.401e-05,1.2226e-06,0.00025374,1,0.28922,16.693,0.65,0.28922
16.693,0.65,0.32136,0.00018022,1.1087,3.5318e-05,5.2046e-06,2.104e-07,6.1191e-05,-2.5779e-07,0.00026394,1,0.32136,16.693,0.65,0.32136
16.693,0.65,0.35349,0.00018022,1.1087,3.5318e-05,5.2046e-06,2.104e-07,6.1191e-05,-2.5779e-07,0.00026394,1,0.3535,16.693,0.65,0.35349
16.693,0.65,0.38563,0.00017773,1.1088,4.1395e-05,5.2833e-06,3.7912e-06,6.3498e-05,7.2019e-06,0.00025058,1,0.38563,16.693,0.65,0.38563
16.693,0.65,0.41777,0.00017773,1.1088,4.1395e-05,5.2833e-06,3.7912e-06,6.3498e-05,7.2019e-06,0.00025058,1,0.41777,16.693,0.65,0.41777
16.693,0.65,0.4499,0.00017858,1.1097,4.2769e-05,3.6795e-06,5.2066e-06,5.8906e-05,-3.7682e-06,0.00025548,1,0.4499,16.693,0.65,0.4499
16.693,0.65,0.48204,0.00017858,1.1097,4.2769e-05,3.6795e-06,5.2066e-06,5.8906e-05,-3.7682e-06,0.00025548,1,0.48204,16.693,0.65,0.48204
16.693,0.65,0.51417,0.00017858,1.1097,4.2769e-05,3.6795e-06,5.2066e-06,5.8906e-05,-3.7682e-06,0.00025548,1,0.51418,16.693,0.65,0.51417
16.693,0.65,0.54631,0.00018216,1.1097,4.5687e-05,2.9333e-06,1.1229e-06,6.4426e-05,6.8434e-06,0.0002542,1,0.54631,16.693,0.65,0.54631
