"X","Y","Z","K","W","uu","uv","uw","vv","vw","ww","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,18.914,0.65,-1.1704e-06
18.914,0.65,0.032135,0.00011768,1.1075,2.4931e-05,1.0364e-05,-9.0454e-06,3.6723e-05,-4.2241e-06,0.0001737,1,0.032136,18.914,0.65,0.032135
18.914,0.65,0.064271,0.00011768,1.1075,2.4931e-05,1.0364e-05,-9.0454e-06,3.6723e-05,-4.2241e-06,0.0001737,1,0.064272,18.914,0.65,0.064271
18.914,0.65,0.096407,0.0001595,1.1064,4.6883e-05,1.1134e-05,-3.7986e-06,6.1285e-05,-3.5894e-06,0.00021083,1,0.096408,18.914,0.65,0.096407
18.914,0.65,0.12854,0.0001595,1.1064,4.6883e-05,1.1134e-05,-3.7986e-06,6.1285e-05,-3.5894e-06,0.00021083,1,0.12854,18.914,0.65,0.12854
18.914,0.65,0.16068,0.00019229,1.1068,4.7707e-05,1.0679e-05,3.0386e-06,6.3611e-05,-6.7435e-06,0.00027326,1,0.16068,18.914,0.65,0.16068
18.914,0.65,0.19281,0.00019229,1.1068,4.7707e-05,1.0679e-05,3.0386e-06,6.3611e-05,-6.7435e-06,0.00027326,1,0.19282,18.914,0.65,0.19281
18.914,0.65,0.22495,0.00019229,1.1068,4.7707e-05,1.0679e-05,3.0386e-06,6.3611e-05,-6.7435e-06,0.00027326,1,0.22495,18.914,0.65,0.22495
18.914,0.65,0.25709,0.00017081,1.1069,4.8524e-05,1.0108e-05,-1.878e-06,6.0642e-05,5.9833e-06,0.00023245,1,0.25709,18.914,0.65,0.25709
18.914,0.65,0.28922,0.00017081,1.1069,4.8524e-05,1.0108e-05,-1.878e-06,6.0642e-05,5.9833e-06,0.00023245,1,0.28922,18.914,0.65,0.28922
18.914,0.65,0.32136,0.00018499,1.1076,4.8282e-05,1.0054e-05,-4.7397e-06,6.3737e-05,4.3576e-07,0.00025796,1,0.32136,18.914,0.65,0.32136
18.914,0.65,0.35349,0.00018499,1.1076,4.8282e-05,1.0054e-05,-4.7397e-06,6.3737e-05,4.3576e-07,0.00025796,1,0.3535,18.914,0.65,0.35349
18.914,0.65,0.38563,0.00018604,1.1078,4.8787e-05,9.6729e-06,-3.178e-06,6.2734e-05,3.9825e-06,0.00026056,1,0.38563,18.914,0.65,0.38563
18.914,0.65,0.41777,0.00018604,1.1078,4.8787e-05,9.6729e-06,-3.178e-06,6.2734e-05,3.9825e-06,0.00026056,1,0.41777,18.914,0.65,0.41777
18.914,0.65,0.4499,0.00018445,1.1086,5.0282e-05,1.2081e-05,5.0912e-06,6.9672e-05,-3.0684e-06,0.00024895,1,0.4499,18.914,0.65,0.4499
18.914,0.65,0.48204,0.00018445,1.1086,5.0282e-05,1.2081e-05,5.0912e-06,6.9672e-05,-3.0684e-06,0.00024895,1,0.48204,18.914,0.65,0.48204
18.914,0.65,0.51417,0.00018445,1.1086,5.0282e-05,1.2081e-05,5.0912e-06,6.9672e-05,-3.0684e-06,0.00024895,1,0.51418,18.914,0.65,0.51417
18.914,0.65,0.54631,0.00017912,1.1091,4.8156e-05,9.2563e-06,-1.4254e-06,6.6964e-05,-7.4755e-06,0.00024312,1,0.54631,18.914,0.65,0.54631
18.914,0.65,0.57845,0.00017912,1.1091,4.8156e-05,9.2563e-06,-1.4254e-06,6.6964e-05,-7.4755e-06,0.00024312,1,0.57845,18.914,0.65,0.57845
18.914,0.65,0.61058,0.00018194,1.11,4.7368e-05,1.0949e-05,1.049e-06,7.1672e-05,-1.2841e-06,0.00024483,1,0.61058,18.914,0.65,0.61058
18.914,0.65,0.64272,0.00018194,1.11,4.7368e-05,1.0949e-05,1.049e-06,7.1672e-05,-1.2841e-06,0.00024483,1,0.64272,18.914,0.65,0.64272
18.914,0.65,0.67485,0.00017622,1.1105,4.867e-05,8.489e-06,-9.0262e-07,6.2257e-05,-5.2698e-06,0.00024152,1,0.67486,18.914,0.65,0.67485
18.914,0.65,0.70699,0.00017622,1.1105,4.867e-05,8.489e-06,-9.0262e-07,6.2257e-05,-5.2698e-06,0.00024152,1,0.70699,18.914,0.65,0.70699
18.914,0.65,0.73913,0.00018417,1.1114,5.1929e-05,1.0648e-05,1.3513e-06,7.0976e-05,-7.7933e-06,0.00024543,1,0.73913,18.914,0.65,0.73913
18.914,0.65,0.77126,0.00018417,1.1114,5.1929e-05,1.0648e-05,1.3513e-06,7.0976e-05,-7.7933e-06,0.00024543,1,0.77126,18.914,0.65,0.77126
18.914,0.65,0.8034,0.00018417,1.1114,5.1929e-05,1.0648e-05,1.3513e-06,7.0976e-05,-7.7933e-06,0.00024543,1,0.8034,18.914,0.65,0.8034
18.914,0.65,0.83553,0.00017621,1.1121,5.1536e-05,6.959e-06,-6.7452e-06,6.2074e-05,3.5438e-06,0.0002388,1,0.83554,18.914,0.65,0.83553
18.914,0.65,0.86767,0.00017621,1.1121,5.1536e-05,6.959e-06,-6.7452e-06,6.2074e-05,3.5438e-06,0.0002388,1,0.86767,18.914,0.65,0.86767
18.914,0.65,0.89981,0.00018635,1.113,5.2943e-05,1.1897e-05,4.4912e-06,7.8426e-05,-3.735e-06,0.00024132,1,0.89981,18.914,0.65,0.89981
18.914,0.65,0.93194,0.00018635,1.113,5.2943e-05,1.1897e-05,4.4912e-06,7.8426e-05,-3.735e-06,0.00024132,1,0.93194,18.914,0.65,0.93194
18.914,0.65,0.96408,0.00019076,1.1136,5.1825e-05,8.4144e-06,-6.16e-06,6.6013e-05,2.6367e-06,0.00026369,1,0.96408,18.914,0.65,0.96408
18.914,0.65,0.99621,0.00019076,1.1136,5.1825e-05,8.4144e-06,-6.16e-06,6.6013e-05,2.6367e-06,0.00026369,1,0.99622,18.914,0.65,0.99621
18.914,0.65,1.0284,0.00020284,1.1146,5.4443e-05,1.612e-05,5.8391e-06,7.6616e-05,-3.239e-06,0.00027461,1,1.0284,18.914,0.65,1.0284
18.914,0.65,1.0605,0.00020284,1.1146,5.4443e-05,1.612e-05,5.8391e-06,7.6616e-05,-3.239e-06,0.00027461,1,1.0605,18.914,0.65,1.0605
18.914,0.65,1.0926,0.00019152,1.1153,5.178e-05,1.1089e-05,4.9028e-07,6.3038e-05,1.2136e-07,0.00026822,1,1.0926,18.914,0.65,1.0926
18.914,0.65,1.1248,0.00019152,1.1153,5.178e-05,1.1089e-05,4.9028e-07,6.3038e-05,1.2136e-07,0.00026822,1,1.1248,18.914,0.65,1.1248
18.914,0.65,1.1569,0.00019693,1.1163,5.7475e-05,1.7898e-05,2.7431e-06,7.712e-05,-3.136e-06,0.00025926,1,1.1569,18.914,0.65,1.1569
18.914,0.65,1.189,0.00019693,1.1163,5.7475e-05,1.7898e-05,2.7431e-06,7.712e-05,-3.136e-06,0.00025926,1,1.189,18.914,0.65,1.189
18.914,0.65,1.2212,0.00019521,1.117,5.4092e-05,8.3043e-06,-8.7172e-06,6.4091e-05,-8.7707e-06,0.00027223,1,1.2212,18.914,0.65,1.2212
18.914,0.65,1.2533,0.00019521,1.117,5.4092e-05,8.3043e-06,-8.7172e-06,6.4091e-05,-8.7707e-06,0.00027223,1,1.2533,18.914,0.65,1.2533
18.914,0.65,1.2854,0.0002109,1.118,6.2851e-05,1.5535e-05,-9.7729e-07,7.8318e-05,-4.8403e-06,0.00028064,1,1.2854,18.914,0.65,1.2854
18.914,0.65,1.3176,0.0002109,1.118,6.2851e-05,1.5535e-05,-9.7729e-07,7.8318e-05,-4.8403e-06,0.00028064,1,1.3176,18.914,0.65,1.3176
18.914,0.65,1.3497,0.000198,1.1187,5.546e-05,5.2876e-06,-4.173e-06,6.7424e-05,-9.8004e-06,0.00027311,1,1.3497,18.914,0.65,1.3497
18.914,0.65,1.3818,0.000198,1.1187,5.546e-05,5.2876e-06,-4.173e-06,6.7424e-05,-9.8004e-06,0.00027311,1,1.3818,18.914,0.65,1.3818
18.914,0.65,1.414,0.00022032,1.1196,6.3161e-05,1.5252e-05,-5.4167e-06,8.2716e-05,2.0615e-06,0.00029476,1,1.414,18.914,0.65,1.414
18.914,0.65,1.4461,0.00022032,1.1196,6.3161e-05,1.5252e-05,-5.4167e-06,8.2716e-05,2.0615e-06,0.00029476,1,1.4461,18.914,0.65,1.4461
18.914,0.65,1.4783,0.00021519,1.1204,5.1803e-05,7.6635e-06,-5.5991e-06,6.6605e-05,-1.025e-05,0.00031198,1,1.4783,18.914,0.65,1.4783
18.914,0.65,1.5104,0.00021519,1.1204,5.1803e-05,7.6635e-06,-5.5991e-06,6.6605e-05,-1.025e-05,0.00031198,1,1.5104,18.914,0.65,1.5104
18.914,0.65,1.5425,0.00023448,1.1214,6.3394e-05,1.6857e-05,-6.7145e-06,8.2599e-05,4.218e-06,0.00032296,1,1.5425,18.914,0.65,1.5425
18.914,0.65,1.5747,0.00023448,1.1214,6.3394e-05,1.6857e-05,-6.7145e-06,8.2599e-05,4.218e-06,0.00032296,1,1.5747,18.914,0.65,1.5747
18.914,0.65,1.6068,0.00022918,1.1223,5.7305e-05,9.6651e-06,-7.9726e-06,6.9484e-05,-9.6462e-06,0.00033158,1,1.6068,18.914,0.65,1.6068
18.914,0.65,1.6389,0.00022918,1.1223,5.7305e-05,9.6651e-06,-7.9726e-06,6.9484e-05,-9.6462e-06,0.00033158,1,1.6389,18.914,0.65,1.6389
18.914,0.65,1.6711,0.00025973,1.1232,7.0101e-05,2.0062e-05,-1.3617e-05,8.5237e-05,2.3343e-06,0.00036413,1,1.6711,18.914,0.65,1.6711
18.914,0.65,1.7032,0.00025973,1.1232,7.0101e-05,2.0062e-05,-1.3617e-05,8.5237e-05,2.3343e-06,0.00036413,1,1.7032,18.914,0.65,1.7032
18.914,0.65,1.7353,0.0002565,1.1242,5.8318e-05,8.3597e-06,-1.1311e-05,6.5736e-05,-1.1386e-05,0.00038894,1,1.7353,18.914,0.65,1.7353
18.914,0.65,1.7675,0.0002565,1.1242,5.8318e-05,8.3597e-06,-1.1311e-05,6.5736e-05,-1.1386e-05,0.00038894,1,1.7675,18.914,0.65,1.7675
18.914,0.65,1.7996,0.00027493,1.1252,6.8755e-05,1.5802e-05,-1.2002e-05,7.7746e-05,1.1583e-06,0.00040336,1,1.7996,18.914,0.65,1.7996
18.914,0.65,1.8318,0.00027493,1.1252,6.8755e-05,1.5802e-05,-1.2002e-05,7.7746e-05,1.1583e-06,0.00040336,1,1.8318,18.914,0.65,1.8318
18.914,0.65,1.8639,0.00027392,1.1263,5.9672e-05,6.7617e-06,-1.8679e-05,6.6225e-05,-1.7124e-05,0.00042195,1,1.8639,18.914,0.65,1.8639
18.914,0.65,1.896,0.00027392,1.1263,5.9672e-05,6.7617e-06,-1.8679e-05,6.6225e-05,-1.7124e-05,0.00042195,1,1.896,18.914,0.65,1.896
18.914,0.65,1.9282,0.00031267,1.1272,7.5393e-05,1.2834e-05,-1.8233e-05,7.9009e-05,-2.2869e-07,0.00047094,1,1.9282,18.914,0.65,1.9282
18.914,0.65,1.9603,0.00031267,1.1272,7.5393e-05,1.2834e-05,-1.8233e-05,7.9009e-05,-2.2869e-07,0.00047094,1,1.9603,18.914,0.65,1.9603
18.914,0.65,1.9924,0.0003067,1.1282,6.5547e-05,4.5812e-06,-7.1959e-06,6.4453e-05,-2.1954e-05,0.0004834,1,1.9924,18.914,0.65,1.9924
18.914,0.65,2.0246,0.0003067,1.1282,6.5547e-05,4.5812e-06,-7.1959e-06,6.4453e-05,-2.1954e-05,0.0004834,1,2.0246,18.914,0.65,2.0246
18.914,0.65,2.0567,0.0003381,1.1292,8.0184e-05,1.4608e-05,-2.5433e-05,7.5263e-05,1.1025e-05,0.00052074,1,2.0567,18.914,0.65,2.0567
18.914,0.65,2.0888,0.0003381,1.1292,8.0184e-05,1.4608e-05,-2.5433e-05,7.5263e-05,1.1025e-05,0.00052074,1,2.0888,18.914,0.65,2.0888
18.914,0.65,2.121,0.0003447,1.1302,6.8476e-05,5.5074e-06,-1.538e-05,6.3526e-05,-1.3889e-05,0.00055741,1,2.121,18.914,0.65,2.121
18.914,0.65,2.1531,0.00037801,1.1311,8.3351e-05,1.7834e-05,-2.8641e-05,7.466e-05,3.1657e-06,0.00059802,1,2.1531,18.914,0.65,2.1531
18.914,0.65,2.1852,0.00037801,1.1311,8.3351e-05,1.7834e-05,-2.8641e-05,7.466e-05,3.1657e-06,0.00059802,1,2.1852,18.914,0.65,2.1852
18.914,0.65,2.2174,0.00039955,1.1321,6.9232e-05,4.8354e-06,-1.0187e-05,6.3981e-05,-1.432e-05,0.00066589,1,2.2174,18.914,0.65,2.2174
18.914,0.65,2.2495,0.00039955,1.1321,6.9232e-05,4.8354e-06,-1.0187e-05,6.3981e-05,-1.432e-05,0.00066589,1,2.2495,18.914,0.65,2.2495
18.914,0.65,2.2817,0.00041615,1.1331,7.9238e-05,1.3428e-05,-4.7692e-05,7.4751e-05,-5.6773e-06,0.00067832,1,2.2817,18.914,0.65,2.2817
18.914,0.65,2.3138,0.00041615,1.1331,7.9238e-05,1.3428e-05,-4.7692e-05,7.4751e-05,-5.6773e-06,0.00067832,1,2.3138,18.914,0.65,2.3138
18.914,0.65,2.3459,0.00043869,1.1341,6.6607e-05,6.5813e-06,-1.1197e-05,6.3987e-05,-9.8191e-06,0.00074678,1,2.3459,18.914,0.65,2.3459
18.914,0.65,2.3781,0.00043869,1.1341,6.6607e-05,6.5813e-06,-1.1197e-05,6.3987e-05,-9.8191e-06,0.00074678,1,2.3781,18.914,0.65,2.3781
