"X","Y","Z","K","W","uu","uv","uw","vv","vw","ww","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,15.443,0.65,-1.1704e-06
15.443,0.65,0.032135,0.00022336,1.1104,9.0334e-05,3.2992e-06,-3.7941e-06,4.7755e-05,-3.2717e-05,0.00030864,1,0.032136,15.443,0.65,0.032135
15.443,0.65,0.064271,0.00022336,1.1104,9.0334e-05,3.2992e-06,-3.7941e-06,4.7755e-05,-3.2717e-05,0.00030864,1,0.064272,15.443,0.65,0.064271
15.443,0.65,0.096407,0.00023086,1.1044,0.00011885,-1.4623e-06,1.3335e-06,7.0423e-05,-3.1594e-07,0.00027245,1,0.096408,15.443,0.65,0.096407
15.443,0.65,0.12854,0.00023086,1.1044,0.00011885,-1.4623e-06,1.3335e-06,7.0423e-05,-3.1594e-07,0.00027245,1,0.12854,15.443,0.65,0.12854
15.443,0.65,0.16068,0.00026697,1.1043,0.00011517,2.4774e-06,-1.9979e-06,7.2977e-05,2.3685e-06,0.00034579,1,0.16068,15.443,0.65,0.16068
15.443,0.65,0.19281,0.00026697,1.1043,0.00011517,2.4774e-06,-1.9979e-06,7.2977e-05,2.3685e-06,0.00034579,1,0.19282,15.443,0.65,0.19281
15.443,0.65,0.22495,0.00026697,1.1043,0.00011517,2.4774e-06,-1.9979e-06,7.2977e-05,2.3685e-06,0.00034579,1,0.22495,15.443,0.65,0.22495
15.443,0.65,0.25709,0.0002418,1.1043,0.00012205,3.4926e-07,2.2343e-06,7.0646e-05,-2.6893e-06,0.00029091,1,0.25709,15.443,0.65,0.25709
15.443,0.65,0.28922,0.0002418,1.1043,0.00012205,3.4926e-07,2.2343e-06,7.0646e-05,-2.6893e-06,0.00029091,1,0.28922,15.443,0.65,0.28922
15.443,0.65,0.32136,0.00025855,1.1044,0.00011954,4.0745e-06,-5.8687e-06,7.5711e-05,1.0843e-05,0.00032185,1,0.32136,15.443,0.65,0.32136
15.443,0.65,0.35349,0.00025855,1.1044,0.00011954,4.0745e-06,-5.8687e-06,7.5711e-05,1.0843e-05,0.00032185,1,0.3535,15.443,0.65,0.35349
15.443,0.65,0.38563,0.0002551,1.1052,0.00012261,-2.2748e-06,1.7403e-05,7.2861e-05,-1.0084e-05,0.00031473,1,0.38563,15.443,0.65,0.38563
15.443,0.65,0.41777,0.0002551,1.1052,0.00012261,-2.2748e-06,1.7403e-05,7.2861e-05,-1.0084e-05,0.00031473,1,0.41777,15.443,0.65,0.41777
15.443,0.65,0.4499,0.00026921,1.1049,0.0001152,7.5097e-06,-6.3462e-06,8.1993e-05,1.6514e-05,0.00034123,1,0.4499,15.443,0.65,0.4499
15.443,0.65,0.48204,0.00026921,1.1049,0.0001152,7.5097e-06,-6.3462e-06,8.1993e-05,1.6514e-05,0.00034123,1,0.48204,15.443,0.65,0.48204
15.443,0.65,0.51417,0.00026921,1.1049,0.0001152,7.5097e-06,-6.3462e-06,8.1993e-05,1.6514e-05,0.00034123,1,0.51418,15.443,0.65,0.51417
15.443,0.65,0.54631,0.00025006,1.1064,0.0001167,-3.5978e-06,1.3102e-05,7.6027e-05,-1.1678e-05,0.0003074,1,0.54631,15.443,0.65,0.54631
15.443,0.65,0.57845,0.00025006,1.1064,0.0001167,-3.5978e-06,1.3102e-05,7.6027e-05,-1.1678e-05,0.0003074,1,0.57845,15.443,0.65,0.57845
15.443,0.65,0.61058,0.00027836,1.1056,0.00011223,9.2554e-06,-3.6205e-06,8.8051e-05,1.7705e-05,0.00035643,1,0.61058,15.443,0.65,0.61058
15.443,0.65,0.64272,0.00027836,1.1056,0.00011223,9.2554e-06,-3.6205e-06,8.8051e-05,1.7705e-05,0.00035643,1,0.64272,15.443,0.65,0.64272
15.443,0.65,0.67485,0.00027482,1.1077,0.00012228,-7.4397e-06,1.996e-05,8.4127e-05,-1.7912e-05,0.00034322,1,0.67486,15.443,0.65,0.67485
15.443,0.65,0.70699,0.00027482,1.1077,0.00012228,-7.4397e-06,1.996e-05,8.4127e-05,-1.7912e-05,0.00034322,1,0.70699,15.443,0.65,0.70699
15.443,0.65,0.73913,0.00028697,1.1066,0.00011623,7.0133e-06,-1.3376e-05,9.098e-05,2.5154e-05,0.00036673,1,0.73913,15.443,0.65,0.73913
15.443,0.65,0.77126,0.00028697,1.1066,0.00011623,7.0133e-06,-1.3376e-05,9.098e-05,2.5154e-05,0.00036673,1,0.77126,15.443,0.65,0.77126
15.443,0.65,0.8034,0.00028697,1.1066,0.00011623,7.0133e-06,-1.3376e-05,9.098e-05,2.5154e-05,0.00036673,1,0.8034,15.443,0.65,0.8034
15.443,0.65,0.83553,0.00029517,1.1089,0.00012833,-6.7856e-06,1.5419e-05,8.6321e-05,-1.862e-05,0.00037568,1,0.83554,15.443,0.65,0.83553
15.443,0.65,0.86767,0.00029517,1.1089,0.00012833,-6.7856e-06,1.5419e-05,8.6321e-05,-1.862e-05,0.00037568,1,0.86767,15.443,0.65,0.86767
15.443,0.65,0.89981,0.00031801,1.1078,0.0001127,1.799e-05,-1.5623e-05,9.5024e-05,1.406e-05,0.0004283,1,0.89981,15.443,0.65,0.89981
15.443,0.65,0.93194,0.00031801,1.1078,0.0001127,1.799e-05,-1.5623e-05,9.5024e-05,1.406e-05,0.0004283,1,0.93194,15.443,0.65,0.93194
15.443,0.65,0.96408,0.00032454,1.1101,0.00013706,-4.8621e-06,2.3937e-05,9.1342e-05,-4.1076e-05,0.00042069,1,0.96408,15.443,0.65,0.96408
15.443,0.65,0.99621,0.00032454,1.1101,0.00013706,-4.8621e-06,2.3937e-05,9.1342e-05,-4.1076e-05,0.00042069,1,0.99622,15.443,0.65,0.99621
15.443,0.65,1.0284,0.00034158,1.1094,0.000115,1.8389e-05,-2.1778e-05,0.00010031,2.5722e-05,0.00046785,1,1.0284,15.443,0.65,1.0284
15.443,0.65,1.0605,0.00034158,1.1094,0.000115,1.8389e-05,-2.1778e-05,0.00010031,2.5722e-05,0.00046785,1,1.0605,15.443,0.65,1.0605
15.443,0.65,1.0926,0.00035078,1.111,0.00014021,-7.1078e-06,2.7294e-05,9.4278e-05,-5.6846e-05,0.00046708,1,1.0926,15.443,0.65,1.0926
15.443,0.65,1.1248,0.00035078,1.111,0.00014021,-7.1078e-06,2.7294e-05,9.4278e-05,-5.6846e-05,0.00046708,1,1.1248,15.443,0.65,1.1248
15.443,0.65,1.1569,0.00036724,1.1108,0.00011414,1.6839e-05,-2.4938e-05,9.9605e-05,3.34e-05,0.00052073,1,1.1569,15.443,0.65,1.1569
15.443,0.65,1.189,0.00036724,1.1108,0.00011414,1.6839e-05,-2.4938e-05,9.9605e-05,3.34e-05,0.00052073,1,1.189,15.443,0.65,1.189
15.443,0.65,1.2212,0.00039131,1.1119,0.00014806,-8.1911e-06,4.5473e-05,0.00010879,-7.2859e-05,0.00052577,1,1.2212,15.443,0.65,1.2212
15.443,0.65,1.2533,0.00039131,1.1119,0.00014806,-8.1911e-06,4.5473e-05,0.00010879,-7.2859e-05,0.00052577,1,1.2533,15.443,0.65,1.2533
15.443,0.65,1.2854,0.00039172,1.1124,0.00011246,1.5673e-05,-2.7588e-05,0.00011091,2.1884e-05,0.00056008,1,1.2854,15.443,0.65,1.2854
15.443,0.65,1.3176,0.00039172,1.1124,0.00011246,1.5673e-05,-2.7588e-05,0.00011091,2.1884e-05,0.00056008,1,1.3176,15.443,0.65,1.3176
15.443,0.65,1.3497,0.00042478,1.1128,0.00014981,-9.3497e-06,5.4025e-05,0.0001192,-9.6698e-05,0.00058054,1,1.3497,15.443,0.65,1.3497
